CH4 (2),Year
638,14442
605,14428
622,14412
658,14387
651,14367
626,14338
622,14306
667,14292
661,14277
636,14261
618,14247
615,14232
632,14217
661,14201
628,14146
701,14060
626,14043
640,13992
651,13906
704,13841
657,13760
674,13615
675,13460
684,13399
685,13336
674,13261
618,13125
680,13048
703,12949
626,12876
585,12767
597,12749
476,12610
494,12446
488,12341
510,12220
492,12152
458,12081
484,12036
525,11966
518,11900
481,11870
521,11828
485,11795
489,11723
534,11707
508,11695
520,11680
536,11667
591,11637
625,11612
693,11589
738,11571
686,11563
769,11551
755,11515
751,11487
737,11440
709,11436
693,11389
681,11333
