"BehaviorSpace results (NetLogo 6.1.1)"
"compound-events.nlogo"
"experiment"
"01/28/2020 01:21:03:867 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","520","0","180"
"[run number]","1","2","3"
"max_altitude_food_available","2500","2500","2500"
"mean_ash_intensity","50","50","50"
"ash_eruption_distance_2","50","50","50"
"increase_temp_variation","0","0","0"
"ash_eruption_radius","40","40","40"
"growback_rate","8","8","8"
"random_ash_fall","0.3","0.3","0.3"
"decrease_connection","1","1","1"
"max_deviation_prec","3","3","3"
"cultural_capital_distribution","normal","normal","normal"
"show-graticules?","false","false","false"
"ash_fallout","wind-cones","wind-cones","wind-cones"
"max_temp_change","0","0","0"
"show_volcano_impact","true","true","true"
"max_deviation_temp","10","10","10"
"volcano_duration_effect","24","24","24"
"threshold_location_knowledge","7","7","7"
"average_group_size","23","23","23"
"show_links","true","true","true"
"mobility_size_factor","2","2","2"
"volcano_eruption_distance","2","2","2"
"max_food_patch","9000","9000","9000"
"max_shared_locations","50","50","50"
"ash_eruption_angle_2","110","110","110"
"debug?","false","false","false"
"ash_wind_direction_2","230","230","230"
"optimal_temperature","5","5","5"
"cooperation_radius","3","3","3"
"stdev_group_size","10","10","10"
"cone_impact_2","1","1","1"
"ash_eruption_distance_1","70","70","70"
"optimal_precipitation","4","4","4"
"max_resource_patch","4500","4500","4500"
"percentage_ash","1","1","1"
"decay_exponent","0.17","0.17","0.17"
"split_min_size","25","25","25"
"stdv_ash_intensity","10","10","10"
"increase_prec_variation","0","0","0"
"number_of_bands","1000","1000","1000"
"variation_delay","500","500","500"
"max_effectiveness","6","6","6"
"maximum_days_moving","89","89","89"
"decay_type","exponential","exponential","exponential"
"merge_max_size","50","50","50"
"cultural_capital_mutation","5","5","5"
"ash_eruption_distribution","skewed near","skewed near","skewed near"
"mean_cultural_capital","30","30","30"
"color_clusters?","true","true","true"
"environment_delay","300","300","300"
"start_event","20","20","20"
"ash_eruption_angle_1","30","30","30"
"resources_tool","60","60","60"
"ash_wind_direction_1","50","50","50"
"stdv_cultural_capital","20","20","20"
"max_prec_change","0","0","0"
"standard_birth_rate","1.05","1.05","1.05"
"cone_impact_1","1","1","1"
"[reporter]","mean [ community_size ] of agentset_unique_communities","mean [ community_size ] of agentset_unique_communities","mean [ community_size ] of agentset_unique_communities"
"[final]","2.4285714285714284","2.2688172043010755","2.467391304347826"
"[min]","2.3839285714285716","2.2688172043010755","2.349056603773585"
"[max]","2.5306122448979593","2.4895104895104896","2.5864661654135337"
"[mean]",,,
"[steps]","10","10","10"

"[all run data]","mean [ community_size ] of agentset_unique_communities","mean [ community_size ] of agentset_unique_communities","mean [ community_size ] of agentset_unique_communities"
,"<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
,"2.4842767295597485","2.4895104895104896","2.5864661654135337"
,"2.436619718309859","2.4390243902439024","2.5344827586206895"
,"2.4444444444444446","2.4774774774774775","2.4411764705882355"
,"2.5083333333333333","2.4454545454545453","2.4285714285714284"
,"2.3839285714285716","2.3873873873873874","2.519230769230769"
,"2.4910714285714284","2.3392857142857144","2.4766355140186915"
,"2.4649122807017543","2.3482142857142856","2.5288461538461537"
,"2.495145631067961","2.3773584905660377","2.349056603773585"
,"2.5306122448979593","2.396039603960396","2.4479166666666665"
,"2.4285714285714284","2.2688172043010755","2.467391304347826"
